,Tract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Community Area,HCSOBP_2016-2018,repres_point,longitude,latitude
0,17031840300,3950,1173,0,0.0,0.0,0,1,0,0,0,1,21.9,0,1,0,1,0,0,0,0,1657.0,1048.0,310.0,1710.0,104.0,706.0,0.0,46.0,1384.0,2495.0,110.0,256.0,59,20.1,POINT (-87.68589885474043 41.8299805),-87.68589885474043,41.8299805
1,17031840200,2338,771,0,3.0,0.13,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,955.0,537.0,233.0,651.0,55.0,1359.0,1.0,11.0,261.0,491.0,115.0,150.0,60,21.3,POINT (-87.65039429536534 41.8437785),-87.65039429536534,41.8437785
2,17031841200,5262,1639,0,1.0,0.02,0,0,0,0,0,1,19.1,0,0,0,0,0,0,0,0,2257.0,1618.0,314.0,2340.0,242.0,17.0,7.0,83.0,2573.0,4501.0,478.0,441.0,31,19.9,POINT (-87.68326162268602 41.855657),-87.68326162268602,41.855657
3,17031838200,1578,441,0,555.0,35.17,0,1,0,1,1,1,34.5,0,1,0,1,0,0,0,1,489.0,174.0,73.0,729.0,219.0,405.0,1.0,8.0,216.0,316.0,157.0,31.0,28,24.1,POINT (-87.67509400369978 41.870564),-87.67509400369978,41.870564
4,17031650301,5711,1501,0,7.0,0.12,0,0,0,0,0,1,5.2,0,0,0,0,0,0,0,0,2141.0,1799.0,435.0,3583.0,79.0,27.0,6.0,57.0,1959.0,4504.0,148.0,233.0,65,28.9,POINT (-87.72999635687154 41.774931499999994),-87.72999635687154,41.774931499999994
5,17031530503,5345,1784,0,0.0,0.0,1,1,1,1,1,1,28.8,1,1,1,1,1,0,0,1,2852.0,1419.0,761.0,25.0,5231.0,4.0,0.0,4.0,81.0,57.0,267.0,603.0,53,45.0,POINT (-87.63542138891961 41.6638485),-87.63542138891961,41.6638485
6,17031530501,5402,1611,0,70.0,1.3,0,1,0,0,0,1,20.0,0,1,0,1,0,0,0,0,1820.0,1629.0,636.0,26.0,5257.0,3.0,0.0,17.0,99.0,70.0,221.0,510.0,53,45.0,POINT (-87.63217336908683 41.674245),-87.63217336908683,41.674245
7,17031760803,6236,2759,0,4.0,0.06,0,1,0,1,1,1,15.0,0,1,0,1,0,0,0,1,2403.0,1252.0,662.0,5323.0,169.0,384.0,0.0,15.0,345.0,680.0,383.0,315.0,76,13.2,POINT (-87.8432881814326 41.975269499999996),-87.8432881814326,41.975269499999996
8,17031540102,3109,1055,0,0.0,0.0,1,1,1,1,1,1,64.2,1,1,1,1,1,0,0,1,2794.0,1149.0,266.0,4.0,3076.0,0.0,0.0,3.0,26.0,20.0,606.0,692.0,54,24.1,POINT (-87.6063645753521 41.669098999999996),-87.6063645753521,41.669098999999996
9,17031540101,3373,1044,0,48.0,1.42,1,1,1,1,1,1,52.9,1,1,1,1,1,0,0,1,3434.0,1567.0,122.0,59.0,3200.0,2.0,0.0,4.0,108.0,112.0,777.0,881.0,54,24.1,POINT (-87.60111429885056 41.6509415),-87.60111429885056,41.6509415
